IP_Address,Declared_Latitude,Real_Latitude,Declared_Longitude,Real_Longitude,Real_Country,Is_Match,Distance_km
157.39.70.134,32.27027027027,30.912,75.64874605919,75.8538,IN,False,
110.224.121.113,19.135135135135,19.0728,73.006735524665,72.8826,IN,True,14.772807155000766
157.38.70.134,26.756756756756,26.9196,75.871638310646,75.7878,IN,True,19.87459561004237
152.58.214.73,11.117117117117,11.0055,77.379954710861,76.9661,IN,True,46.87500685199543
106.211.230.254,10.378378378378,13.0878,77.96014992327,80.2785,IN,False,
42.105.96.2,19.063063063063,30.912,72.994006873921,75.8538,IN,False,
152.58.57.137,21.225225225225,22.7179,81.646649317619,75.8333,IN,False,
49.43.229.116,17.693693693693,17.384,83.159070098306,78.4564,IN,False,
106.195.62.200,28.288288288288,28.6519,77.058642622699,77.2315,IN,True,43.70919011714537
152.57.214.91,18.594594594594,18.5196,73.988433555709,73.8554,IN,True,16.31378034456281
157.37.133.78,28.612612612612,28.6519,77.069581545865,77.2315,IN,True,16.420496308527877
122.161.49.165,28.648648648648,28.6654,77.424553032297,77.4391,IN,True,2.338620660569057
171.79.40.161,24.9009009009,22.7179,79.538224802887,75.8333,IN,False,
202.168.85.28,25.873873873873,23.7976,86.990467796445,86.4299,IN,False,
117.99.193.36,17.387387387387,17.384,78.430646310947,78.4564,IN,True,2.76228995336641
106.211.205.198,10.882882882882,13.0878,77.59370854223,80.2785,IN,False,
157.33.123.92,18.18018018018,18.5196,74.607275232827,73.8554,IN,False,
157.38.108.27,26.828828828828,26.9196,75.738125001846,75.7878,IN,True,11.203514292542197
117.97.208.135,20.792792792792,21.5383,86.325022247501,84.7334,IN,False,
49.42.88.92,28.756756756756,28.6519,76.846894769995,77.2315,IN,True,39.33745811665842
157.37.223.112,28.468468468468,28.6519,77.06668401787,77.2315,IN,True,25.94929941189332
106.221.66.23,22.99099099099,23.0258,72.517056348566,72.5873,IN,True,8.167999158585534
157.33.4.144,19.441441441441,21.1463,72.799519836859,79.0849,IN,False,
47.15.205.154,26.9009009009,26.4652,81.625448674097,80.3498,IN,False,
49.14.96.79,30.684684684684,30.912,76.724242058827,75.8538,IN,False,
106.222.96.80,13.189189189189,11.0055,79.558043785672,76.9661,IN,False,
152.58.210.103,12.954954954954,12.9719,77.615209316727,77.5937,IN,True,2.9934515084430444
106.221.186.243,17.423423423423,17.384,78.446111642501,78.4564,IN,True,4.498001695899584
42.108.124.136,10.774774774774,9.9667,76.281811776531,76.2667,IN,False,
110.224.71.46,30.936936936936,30.912,76.820923318616,75.8538,IN,False,
124.253.64.216,31.369369369369,30.7363,75.568417875387,76.7884,IN,False,
47.31.240.71,28.594594594594,28.6519,77.158971624585,77.2315,IN,True,9.520571961815586
152.57.254.212,17.639639639639,17.6715,75.930518628169,75.9104,IN,True,4.12204332127623
157.48.214.186,17.279279279279,17.384,81.007352405534,78.4564,IN,False,
